iso,country.x,year,final_year,source,indic,level,r,se,pop,N,classification,chosen_classification,closest_year,country.y,definition_used_in_last_survey,aggregates_in_any_previous_year,aggregation_classification,aggregated_region_name,standardized_name,country,is_aggregated,admin1
BEN,Benin,2006,2006,DHS,vdpt,alibori,0.5520958304405212,0.05625530332326889,221.75241088867188,210,BEN2,1,2006,Benin,Yes,Yes,BEN1,borgou,alibori,NA,FALSE,BEN_alibori_0
BEN,Benin,2006,2006,DHS,ideliv,alibori,0.4173701107501984,0.05639395117759704,1497.828857421875,1359,BEN2,1,2006,Benin,Yes,Yes,BEN1,borgou,alibori,NA,FALSE,BEN_alibori_0
BEN,Benin,2006,2006,DHS,anc43,alibori,0.3303377628326416,0.04762531071901321,752.05621337890625,687,BEN2,1,2006,Benin,Yes,Yes,BEN1,borgou,alibori,NA,FALSE,BEN_alibori_0
BEN,Benin,2006,2006,DHS,vdpt,atacora,0.6790740489959717,0.04258013516664505,196.29310607910156,259,BEN2,1,2006,Benin,Yes,Yes,BEN1,atacora,atacora,NA,FALSE,BEN_atacora_0
BEN,Benin,2006,2006,DHS,anc43,atacora,0.3375149071216583,0.02548574469983577,636.06060791015625,835,BEN2,1,2006,Benin,Yes,Yes,BEN1,atacora,atacora,NA,FALSE,BEN_atacora_0
BEN,Benin,2006,2006,DHS,ideliv,atacora,0.49399134516716,0.03423170745372772,1195.117431640625,1564,BEN2,1,2006,Benin,Yes,Yes,BEN1,atacora,atacora,NA,FALSE,BEN_atacora_0
BEN,Benin,2006,2006,DHS,anc43,atlantique,0.7301044464111328,0.01900167763233184,977.66937255859375,979,BEN2,1,2006,Benin,Yes,Yes,BEN1,atlantique,atlantique,NA,FALSE,BEN_atlantique_0
BEN,Benin,2006,2006,DHS,vdpt,atlantique,0.6603200435638428,0.02853279747068882,349.6595764160156,352,BEN2,1,2006,Benin,Yes,Yes,BEN1,atlantique,atlantique,NA,FALSE,BEN_atlantique_0
BEN,Benin,2006,2006,DHS,ideliv,atlantique,0.9740915894508362,0.00695385504513979,1751.0418701171875,1766,BEN2,1,2006,Benin,Yes,Yes,BEN1,atlantique,atlantique,NA,FALSE,BEN_atlantique_0
BEN,Benin,2006,2006,DHS,ideliv,borgou,0.5331151485443115,0.05608507245779037,1636.8048095703125,1637,BEN2,1,2006,Benin,Yes,Yes,BEN1,borgou,borgou,NA,FALSE,BEN_borgou_0
BEN,Benin,2006,2006,DHS,anc43,borgou,0.49977102875709534,0.04745911806821823,844.712158203125,840,BEN2,1,2006,Benin,Yes,Yes,BEN1,borgou,borgou,NA,FALSE,BEN_borgou_0
BEN,Benin,2006,2006,DHS,vdpt,borgou,0.5655463933944702,0.06469874829053879,297.9051208496094,298,BEN2,1,2006,Benin,Yes,Yes,BEN1,borgou,borgou,NA,FALSE,BEN_borgou_0
BEN,Benin,2006,2006,DHS,ideliv,collines,0.8513209819793701,0.0322677344083786,1142.9581298828125,1097,BEN2,1,2006,Benin,Yes,Yes,BEN1,zou,collines,NA,FALSE,BEN_collines_0
BEN,Benin,2006,2006,DHS,vdpt,collines,0.748678982257843,0.04115232080221176,243.40203857421875,237,BEN2,1,2006,Benin,Yes,Yes,BEN1,zou,collines,NA,FALSE,BEN_collines_0
BEN,Benin,2006,2006,DHS,anc43,collines,0.6222232580184937,0.03051264025270939,617.74176025390625,596,BEN2,1,2006,Benin,Yes,Yes,BEN1,zou,collines,NA,FALSE,BEN_collines_0
BEN,Benin,2006,2006,DHS,anc43,couffo,0.5190659761428833,0.02375996485352516,696.64697265625,723,BEN2,1,2006,Benin,Yes,Yes,BEN1,mono,couffo,NA,FALSE,BEN_couffo_0
BEN,Benin,2006,2006,DHS,ideliv,couffo,0.7071025371551514,0.03323129937052727,1292.218017578125,1338,BEN2,1,2006,Benin,Yes,Yes,BEN1,mono,couffo,NA,FALSE,BEN_couffo_0
BEN,Benin,2006,2006,DHS,vdpt,couffo,0.6153188347816467,0.03461915254592895,239.8769989013672,249,BEN2,1,2006,Benin,Yes,Yes,BEN1,mono,couffo,NA,FALSE,BEN_couffo_0
BEN,Benin,2006,2006,DHS,ideliv,donga,0.6813533306121826,0.06313429772853851,658.3671875,870,BEN2,1,2006,Benin,Yes,Yes,BEN1,atacora,donga,NA,FALSE,BEN_donga_0
BEN,Benin,2006,2006,DHS,vdpt,donga,0.7644737958908081,0.04712097346782684,121.7694320678711,165,BEN2,1,2006,Benin,Yes,Yes,BEN1,atacora,donga,NA,FALSE,BEN_donga_0
BEN,Benin,2006,2006,DHS,anc43,donga,0.5320397019386292,0.04786163568496704,368.9470825195313,488,BEN2,1,2006,Benin,Yes,Yes,BEN1,atacora,donga,NA,FALSE,BEN_donga_0
BEN,Benin,2006,2006,DHS,vdpt,littoral,0.826556921005249,0.03197548165917396,190.78558349609375,187,BEN2,1,2006,Benin,Yes,Yes,BEN1,atlantique,littoral,NA,FALSE,BEN_littoral_0
BEN,Benin,2006,2006,DHS,anc43,littoral,0.9069331884384156,0.01421165186911821,587.68255615234375,579,BEN2,1,2006,Benin,Yes,Yes,BEN1,atlantique,littoral,NA,FALSE,BEN_littoral_0
BEN,Benin,2006,2006,DHS,ideliv,littoral,0.991374671459198,0.00303414999507367,1046.373291015625,1031,BEN2,1,2006,Benin,Yes,Yes,BEN1,atlantique,littoral,NA,FALSE,BEN_littoral_0
BEN,Benin,2006,2006,DHS,vdpt,mono,0.7518176436424255,0.04301117360591888,190.60357666015625,213,BEN2,1,2006,Benin,Yes,Yes,BEN1,mono,mono,NA,FALSE,BEN_mono_0
BEN,Benin,2006,2006,DHS,anc43,mono,0.5623674392700195,0.03271475434303284,496.4228515625,553,BEN2,1,2006,Benin,Yes,Yes,BEN1,mono,mono,NA,FALSE,BEN_mono_0
BEN,Benin,2006,2006,DHS,ideliv,mono,0.8711620569229126,0.03238746151328087,915.0953369140624,1019,BEN2,1,2006,Benin,Yes,Yes,BEN1,mono,mono,NA,FALSE,BEN_mono_0
BEN,Benin,2006,2006,DHS,anc43,ouémé,0.7094134092330933,0.01783062145113945,1199.482177734375,1039,BEN2,1,2006,Benin,Yes,Yes,BEN1,ouémé,ouémé,NA,FALSE,BEN_ouémé_0
BEN,Benin,2006,2006,DHS,vdpt,ouémé,0.7021017074584961,0.02843409031629562,474.6322326660156,404,BEN2,1,2006,Benin,Yes,Yes,BEN1,ouémé,ouémé,NA,FALSE,BEN_ouémé_0
BEN,Benin,2006,2006,DHS,ideliv,ouémé,0.9738683104515076,0.00497931241989135,2219.66552734375,1928,BEN2,1,2006,Benin,Yes,Yes,BEN1,ouémé,ouémé,NA,FALSE,BEN_ouémé_0
BEN,Benin,2006,2006,DHS,anc43,plateau,0.5908414125442505,0.03222519904375076,450.9585266113281,444,BEN2,1,2006,Benin,Yes,Yes,BEN1,ouémé,plateau,NA,FALSE,BEN_plateau_0
